2402, Sat,29,Dec,2018, 26,31,38,40,45,57,28,   4142191,    0,  Lancelot  ,  3 
2401, Wed,26,Dec,2018, 07,14,35,45,54,58,01,   2000000,    0,  Guinevere ,  2 
2400, Sat,22,Dec,2018, 04,15,17,24,32,56,31,   7500000,    2,  Lancelot  ,  4 
2399, Wed,19,Dec,2018, 12,24,33,34,39,56,38,   5341733,    0,  Guinevere ,  1 
2398, Sat,15,Dec,2018, 05,26,34,35,43,49,19,   4057861,    0,  Guinevere ,  4 
2397, Wed,12,Dec,2018, 03,22,31,46,51,59,53,   2000000,    0,  Lancelot  ,  3 
2396, Sat, 8,Dec,2018, 06,23,36,38,43,48,17,   3807614,    2,  Lancelot  ,  2 
2395, Wed, 5,Dec,2018, 01,06,13,23,45,56,41,   5411352,    0,  Lancelot  ,  2 
2394, Sat, 1,Dec,2018, 05,08,09,12,31,49,57,   4090254,    0,  Guinevere ,  1 
2393, Wed,28,Nov,2018, 36,39,45,46,48,52,38,   2000000,    0,  Guinevere ,  3 
2392, Sat,24,Nov,2018, 15,27,30,32,42,43,10,   4084955,    1,  Lancelot  ,  4 
2391, Wed,21,Nov,2018, 24,31,35,42,46,53,09,   2000000,    0,  Guinevere ,  1 
2390, Sat,17,Nov,2018, 04,05,09,12,17,42,32,   2627216,    2,  Lancelot  ,  3 
2389, Wed,14,Nov,2018, 04,11,20,45,48,53,16,   1928401,    0,  Lancelot  ,  4 
2388, Sat,10,Nov,2018, 07,12,17,38,42,44,53,   2358426,    4,  Lancelot  ,  2 
2387, Wed, 7,Nov,2018, 04,05,09,40,46,59,58,   6645866,    0,  Guinevere ,  1 
2386, Sat, 3,Nov,2018, 16,31,41,45,47,52,53,   5177188,    0,  Guinevere ,  2 
2385, Wed,31,Oct,2018, 05,14,20,24,28,45,21,   1900729,    0,  Lancelot  ,  3 
2384, Sat,27,Oct,2018, 01,06,25,26,31,39,56,  16543093,    1,  Guinevere ,  1 
2383, Wed,24,Oct,2018, 09,22,32,40,51,59,17,  14098451,    0,  Lancelot  ,  2 
2382, Sat,20,Oct,2018, 12,18,40,42,46,59,49,  12447858,    0,  Lancelot  ,  4 
2381, Wed,17,Oct,2018, 01,05,06,20,51,54,56,   9590134,    0,  Guinevere ,  3 
2380, Sat,13,Oct,2018, 19,26,40,52,56,58,38,   8130368,    0,  Guinevere ,  1 
2379, Wed,10,Oct,2018, 10,49,50,53,54,56,04,   5382585,    0,  Lancelot  ,  4 
2378, Sat, 6,Oct,2018, 23,26,30,32,37,39,05,   3377130,    0,  Lancelot  ,  3 
2377, Wed, 3,Oct,2018, 03,05,11,25,27,45,18,  26364533,    0,  Lancelot  ,  2 
2376, Sat,29,Sep,2018, 17,36,40,44,54,58,27,  24284997,    0,  Guinevere ,  4 
2375, Wed,26,Sep,2018, 03,08,37,39,47,59,42,  21555697,    0,  Lancelot  ,  3 
2374, Sat,22,Sep,2018, 05,16,18,20,25,55,36,  20125455,    0,  Lancelot  ,  4 
2373, Wed,19,Sep,2018, 07,20,25,26,34,40,59,  17572057,    0,  Lancelot  ,  1 
2372, Sat,15,Sep,2018, 25,42,48,50,55,58,44,  16447318,    0,  Lancelot  ,  2 
2371, Wed,12,Sep,2018, 11,12,13,14,54,56,36,  13945461,    0,  Guinevere ,  3 
2370, Sat, 8,Sep,2018, 07,19,33,34,52,53,48,  12308430,    0,   Merlin   ,  1 
2369, Wed, 5,Sep,2018, 12,18,22,23,48,59,47,   9394412,    0,   Merlin   ,  4 
2368, Sat, 1,Sep,2018, 03,21,22,38,46,55,50,   7852229,    0,   Arthur   ,  2 
2367, Wed,29,Aug,2018, 19,23,30,50,51,54,55,   5055854,    0,   Arthur   ,  1 
2366, Sat,25,Aug,2018, 09,22,33,39,41,56,48,   3187258,    0,   Arthur   ,  3 
2365, Wed,22,Aug,2018, 15,20,21,25,34,47,36,   6685121,    1,   Merlin   ,  6 
2364, Sat,18,Aug,2018, 01,02,06,12,13,55,11,   5188105,    0,   Merlin   ,  8 
2363, Wed,15,Aug,2018, 03,28,34,41,48,58,54,   1960095,    0,   Arthur   ,  7 
2362, Sat,11,Aug,2018, 01,03,10,18,19,37,57,  13922705,    1,   Arthur   ,  6 
2361, Wed, 8,Aug,2018, 08,19,20,27,31,34,07,  10956094,    0,   Arthur   ,  5 
2360, Sat, 4,Aug,2018, 05,17,23,25,34,51,52,   9309088,    0,   Arthur   ,  7 
2359, Wed, 1,Aug,2018, 15,17,18,34,46,54,04,   6457803,    0,   Arthur   ,  8 
2358, Sat,28,Jul,2018, 11,29,31,32,38,45,10,   4997402,    0,   Arthur   ,  5 
2357, Wed,25,Jul,2018, 05,19,20,23,30,43,06,   1827083,    0,   Arthur   ,  7 
2356, Sat,21,Jul,2018, 09,13,16,25,40,46,52,   7748131,    1,   Arthur   ,  6 
2355, Wed,18,Jul,2018, 22,34,44,49,51,53,33,   5063895,    0,   Merlin   ,  8 
2354, Sat,14,Jul,2018, 04,08,13,26,41,55,58,   3115342,    0,   Merlin   ,  5 
2353, Wed,11,Jul,2018, 08,11,17,25,33,46,13,  10596472,    1,   Merlin   ,  7 
2352, Sat, 7,Jul,2018, 17,18,29,48,52,54,01,   9056210,    0,   Merlin   ,  8 
2351, Wed, 4,Jul,2018, 08,13,22,46,52,58,07,   6417197,    0,   Arthur   ,  7 
2350, Sat,30,Jun,2018, 06,28,32,45,46,49,50,   4986777,    0,   Merlin   ,  7 
2349, Wed,27,Jun,2018, 04,41,45,54,57,58,26,   1899524,    0,   Merlin   ,  5 
2348, Sat,23,Jun,2018, 01,10,15,25,31,47,53,  17196314,    1,   Merlin   ,  6 
2347, Wed,20,Jun,2018, 15,22,26,35,41,43,01,  14768674,    0,   Merlin   ,  8 
2346, Sat,16,Jun,2018, 10,18,36,37,41,46,08,  13641074,    0,   Merlin   ,  5 
