2611, Wed,30,Dec,2020, 11,17,21,24,37,49,45,   5250464,    0,  Lancelot  ,  5 
2610, Sat,26,Dec,2020, 26,43,44,46,52,55,06,   3800000,    0,  Lancelot  ,  8 
2609, Wed,23,Dec,2020, 20,42,48,51,52,54,21,  15000000,    0,  Lancelot  ,  8 
2608, Sat,19,Dec,2020, 04,10,14,21,27,28,23,   4091879,    0,  Guinevere ,  7 
2607, Wed,16,Dec,2020, 02,28,30,36,38,43,33,   2000000,    0,  Guinevere ,  7 
2606, Sat,12,Dec,2020, 13,38,39,49,53,56,59,   3800000,    1,  Guinevere ,  6 
2605, Wed, 9,Dec,2020, 07,08,10,14,28,33,26,   2732892,    2,  Guinevere ,  6 
2604, Sat, 5,Dec,2020, 13,38,47,51,52,59,18,   4109513,    0,   Arthur   ,  5 
2603, Wed, 2,Dec,2020, 16,22,26,38,39,47,48,   2000000,    0,   Merlin   ,  5 
2602, Sat,28,Nov,2020, 09,27,35,45,46,57,32,  12032594,    0,   Merlin   ,  8 
2601, Wed,25,Nov,2020, 11,18,30,33,44,55,48,   9261078,    0,   Merlin   ,  8 
2600, Sat,21,Nov,2020, 23,32,37,49,54,57,47,   7743072,    0,   Arthur   ,  7 
2599, Wed,18,Nov,2020, 18,26,27,28,41,54,45,   5479080,    0,   Arthur   ,  7 
2598, Sat,14,Nov,2020, 25,37,39,44,50,56,13,   4128919,    0,   Arthur   ,  6 
2597, Wed,11,Nov,2020, 06,36,46,49,50,59,38,   2000000,    0,   Arthur   ,  6 
2596, Sat, 7,Nov,2020, 03,33,45,50,52,56,44,  20000000,    0,   Merlin   ,  5 
2595, Wed, 4,Nov,2020, 10,20,28,32,35,50,24,  12980180,    0,   Merlin   ,  5 
2594, Sat,31,Oct,2020, 01,06,16,34,49,59,35,  10998085,    0,   Merlin   ,  4 
2593, Wed,28,Oct,2020, 11,18,27,38,47,59,14,   8692170,    0,   Merlin   ,  4 
2592, Sat,24,Oct,2020, 13,18,19,47,53,57,44,   7254754,    0,   Arthur   ,  3 
2591, Wed,21,Oct,2020, 09,12,27,28,29,44,08,   5099582,    0,   Arthur   ,  3 
2590, Sat,17,Oct,2020, 26,32,38,41,49,51,46,   3800000,    0,   Arthur   ,  2 
2589, Wed,14,Oct,2020, 09,12,28,31,46,50,10,   8996243,    1,   Arthur   ,  2 
2588, Sat,10,Oct,2020, 11,21,36,45,49,56,02,   7555131,    0,   Merlin   ,  1 
2587, Wed, 7,Oct,2020, 12,18,37,52,56,58,53,   5397910,    0,   Merlin   ,  1 
2586, Sat, 3,Oct,2020, 01,04,13,24,27,47,02,   4032838,    0,   Merlin   ,  4 
2585, Wed,30,Sep,2020, 10,25,34,41,46,55,36,   2000000,    0,   Merlin   ,  4 
2584, Sat,26,Sep,2020, 01,19,35,38,54,55,45,  11496937,    0,   Arthur   ,  3 
2583, Wed,23,Sep,2020, 08,17,28,35,47,51,52,   8998696,    0,   Arthur   ,  3 
2582, Sat,19,Sep,2020, 09,13,39,49,52,53,56,   7566684,    0,   Arthur   ,  2 
2581, Wed,16,Sep,2020, 16,20,29,33,47,49,45,   5386435,    0,   Arthur   ,  2 
2580, Sat,12,Sep,2020, 05,23,36,37,42,52,14,   4051990,    0,   Merlin   ,  1 
2579, Wed, 9,Sep,2020, 11,13,33,48,50,56,55,   2000000,    0,   Merlin   ,  1 
2578, Sat, 5,Sep,2020, 03,11,28,36,38,47,32,  20000000,    0,   Merlin   ,  4 
2577, Wed, 2,Sep,2020, 11,15,45,54,55,58,12,   9041705,    0,   Merlin   ,  4 
2576, Sat,29,Aug,2020, 05,10,21,47,51,57,16,   7543906,    0,   Arthur   ,  3 
2575, Wed,26,Aug,2020, 04,08,24,27,31,39,45,   5316218,    0,   Arthur   ,  3 
2574, Sat,22,Aug,2020, 19,23,24,28,37,51,12,   3988224,    0,   Arthur   ,  2 
2573, Wed,19,Aug,2020, 21,22,32,36,45,50,05,   2000000,    0,   Arthur   ,  2 
2572, Sat,15,Aug,2020, 10,14,16,22,25,34,21,  10770647,    1,   Merlin   ,  1 
2571, Wed,12,Aug,2020, 06,08,27,31,37,51,20,   8526920,    0,   Merlin   ,  1 
2570, Sat, 8,Aug,2020, 02,40,49,53,56,58,41,   7178766,    0,   Merlin   , 11 
2569, Wed, 5,Aug,2020, 01,28,42,43,51,58,36,   5102936,    0,   Merlin   , 11 
2568, Sat, 1,Aug,2020, 04,10,13,24,53,56,22,   3800000,    0,   Arthur   , 10 
2567, Wed,29,Jul,2020, 01,24,39,46,49,52,51,   5139353,    1,   Arthur   , 10 
2566, Sat,25,Jul,2020, 10,13,14,18,33,34,15,   3800000,    0,   Arthur   ,  9 
2565, Wed,22,Jul,2020, 02,07,11,23,37,45,19,   2000000,    1,   Arthur   ,  9 
2564, Sat,18,Jul,2020, 01,20,24,32,33,42,30,  11499676,    0,   Merlin   , 11 
2563, Wed,15,Jul,2020, 09,27,29,37,44,53,49,   9008155,    0,   Merlin   , 11 
